codigo_puesto,ubicacion,foto,adjudicacion,descripcion,nombre_local,total_tarifa,total_tarifa_second,titular_previo_id,titular_id,sector_id,mercado_id,giro_id,tarifa_id
E-01, , , , , , 12.00
E-02, , , , , , 12.00
E-03, , , , , , 12.00
E-04, , , , , , 12.00
E-05, , , , , , 12.00
E-06, , , , , , 12.00
E-07, , , , , , 12.00
E-08, , , , , , 12.00
E-09, , , , , , 12.00
E-10, , , , , , 12.00
E-11, , , , , , 12.00
E-12, , , , , , 12.00
E-13, , , , , , 12.00
E-14, , , , , , 12.00
E-15, , , , , , 12.00
E-16, , , , , , 12.00
E-17, , , , , , 12.00
E-18, , , , , , 12.00
E-19, , , , , , 12.00
E-20, , , , , , 12.00
E-21, , , , , , 12.00
E-22, , , , , , 12.00
E-23, , , , , , 12.00
E-24, , , , , , 12.00
E-25, , , , , , 12.00
E-26, , , , , , 12.00
E-27, , , , , , 12.00
E-28, , , , , , 12.00
E-29, , , , , , 12.00
E-30, , , , , , 12.00
E-31, , , , , , 12.00
E-32, , , , , , 12.00
E-33, , , , , , 12.00
E-34, , , , , , 12.00
E-35, , , , , , 12.00
E-36, , , , , , 12.00
E-37, , , , , , 12.00
E-38, , , , , , 12.00
E-39, , , , , , 12.00
E-40, , , , , , 12.00
H-01, , , , , , 12.00
H-02, , , , , , 12.00
H-03, , , , , , 12.00
H-04, , , , , , 12.00
H-05, , , , , , 12.00
H-06, , , , , , 12.00
H-07, , , , , , 12.00
H-08, , , , , , 12.00
H-09, , , , , , 12.00
H-10, , , , , , 12.00
H-11, , , , , , 12.00
H-12, , , , , , 12.00
H-13, , , , , , 12.00
H-14, , , , , , 12.00
H-15, , , , , , 12.00
H-16, , , , , , 12.00
H-17, , , , , , 12.00
H-18, , , , , , 12.00
H-19, , , , , , 12.00
H-20, , , , , , 12.00
H-21, , , , , , 12.00
K-01, , , , , , 12.00
K-02, , , , , , 12.00
K-03, , , , , , 12.00
K-04, , , , , , 12.00
K-05, , , , , , 12.00
K-06, , , , , , 12.00
K-07, , , , , , 12.00
K-08, , , , , , 12.00
K-09, , , , , , 12.00
K-10, , , , , , 12.00
K-11, , , , , , 12.00
K-12, , , , , , 12.00
K-13, , , , , , 12.00
K-14, , , , , , 12.00
K-15, , , , , , 12.00
K-16, , , , , , 12.00
P-01, , , , , , 12.00
P-02, , , , , , 12.00
P-03, , , , , , 12.00
P-05, , , , , , 12.00
P-06, , , , , , 12.00
P-07, , , , , , 12.00
P-08, , , , , , 12.00
P-09, , , , , , 12.00
P-10, , , , , , 12.00
P-11, , , , , , 12.00
P-12, , , , , , 12.00
P-13, , , , , , 12.00
P-14, , , , , , 12.00
P-15, , , , , , 12.00
P-16, , , , , , 12.00
P-17, , , , , , 12.00
P-18, , , , , , 12.00
P-19, , , , , , 12.00
P-20, , , , , , 12.00
P-21, , , , , , 12.00
P-22, , , , , , 12.00
P-23, , , , , , 12.00
P-24, , , , , , 12.00
P-25, , , , , , 12.00
P-26, , , , , , 12.00
P-27, , , , , , 12.00
P-28, , , , , , 12.00
P-29, , , , , , 12.00
P-30, , , , , , 12.00
P-31, , , , , , 12.00
P-32, , , , , , 12.00
P-33, , , , , , 12.00
P-34, , , , , , 12.00
R-01, , , , , , 12.00
R-02, , , , , , 12.00
R-03, , , , , , 12.00
R-04, , , , , , 12.00
R-05, , , , , , 12.00
R-06, , , , , , 12.00
R-07, , , , , , 12.00
R-08, , , , , , 12.00
R-09, , , , , , 12.00
R-10, , , , , , 12.00
R-11, , , , , , 12.00
R-12, , , , , , 12.00
R-13, , , , , , 12.00
R-14, , , , , , 12.00
R-15, , , , , , 12.00
R-16, , , , , , 12.00
R-17, , , , , , 12.00
R-18, , , , , , 12.00
R-19, , , , , , 12.00
R-20, , , , , , 12.00
R-21, , , , , , 12.00
R-22, , , , , , 12.00
R-23, , , , , , 12.00
R-24, , , , , , 12.00
R-25, , , , , , 12.00
R-26, , , , , , 12.00
R-27, , , , , , 12.00
R-28, , , , , , 12.00
R-29, , , , , , 12.00
R-30, , , , , , 12.00